Replay 7|false|11160
-879.0631103515625,168.99998474121094,860.9757080078125|0.9998798370361328,0,-0.015502959489822388|-4.209952265271655e-12,1,-2.7152532999785706e-10|Running
-878.6632080078125,168.99998474121094,860.9752807617188|0.9998798370361328,0,-0.015502959489822388|-4.206353581420741e-12,1,-2.7129323787455917e-10|Running
-878.2633056640625,168.99998474121094,860.9750366210938|0.9998798370361328,0,-0.015502959489822388|-4.202760969101993e-12,1,-2.710615343293199e-10|Running
-877.8634033203125,168.99998474121094,860.9747924804688|0.9998798370361328,0,-0.015502959489822388|-4.199169224144983e-12,1,-2.7082985853965624e-10|Running
-877.4635009765625,168.99998474121094,860.9745483398438|0.9998798370361328,0,-0.015502959489822388|-4.19558311703927e-12,1,-2.705985713280512e-10|Running
-876.8636474609375,170.29473876953125,860.9741821289062|0.9998798370361328,0,-0.015502959489822388|-6.286652622089495e-12,1,-4.054643287787485e-10|Running
-876.2637939453125,171.26803588867188,860.9738159179688|0.9998798370361328,0,-0.015502959489822388|-6.278601770437486e-12,1,-4.049451052257069e-10|Running
-875.763916015625,172.34132385253906,860.9735107421875|0.9998798370361328,0,-0.015502959489822388|-5.226025775323384e-12,1,-3.3705810364992317e-10|Running
-875.364013671875,173.0326385498047,860.9713745117188|0.9998798370361328,0,-0.015502959489822388|-4.176801699645738e-12,1,-2.6938726249703393e-10|Running
-874.8641357421875,173.74783325195312,860.9683837890625|0.9998798370361328,0,-0.015502959489822388|-5.21598085903574e-12,1,-3.3641020524832754e-10|Running
-874.4642333984375,174.2767791748047,860.9649047851562|0.9998798370361328,0,-0.015502959489822388|-4.168775567803262e-12,1,-2.6886962101180245e-10|Running
-873.96435546875,174.8737030029297,860.95849609375|0.9998798370361328,0,-0.015502959489822388|-5.205960662557629e-12,1,-3.3576394442569324e-10|Running
-873.564453125,175.32290649414062,860.9515991210938|0.9998798370361328,0,-0.015502959489822388|-4.1607646147912014e-12,1,-2.683529232161419e-10|Freefall
